order_id,date,time,hour,day name,year,month name,day part
1,2015-01-01,2025-11-21 11:38:36,11,Thursday,2015,January,Morning
2,2015-01-01,2025-11-21 11:57:40,11,Thursday,2015,January,Morning
3,2015-01-01,2025-11-21 12:12:28,12,Thursday,2015,January,Afternoon
4,2015-01-01,2025-11-21 12:16:31,12,Thursday,2015,January,Afternoon
5,2015-01-01,2025-11-21 12:21:30,12,Thursday,2015,January,Afternoon
6,2015-01-01,2025-11-21 12:29:36,12,Thursday,2015,January,Afternoon
7,2015-01-01,2025-11-21 12:50:37,12,Thursday,2015,January,Afternoon
8,2015-01-01,2025-11-21 12:51:37,12,Thursday,2015,January,Afternoon
9,2015-01-01,2025-11-21 12:52:01,12,Thursday,2015,January,Afternoon
10,2015-01-01,2025-11-21 13:00:15,13,Thursday,2015,January,Afternoon
11,2015-01-01,2025-11-21 13:02:59,13,Thursday,2015,January,Afternoon
12,2015-01-01,2025-11-21 13:04:41,13,Thursday,2015,January,Afternoon
13,2015-01-01,2025-11-21 13:11:55,13,Thursday,2015,January,Afternoon
14,2015-01-01,2025-11-21 13:14:19,13,Thursday,2015,January,Afternoon
15,2015-01-01,2025-11-21 13:33:00,13,Thursday,2015,January,Afternoon
16,2015-01-01,2025-11-21 13:34:07,13,Thursday,2015,January,Afternoon
17,2015-01-01,2025-11-21 13:53:00,13,Thursday,2015,January,Afternoon
18,2015-01-01,2025-11-21 13:57:08,13,Thursday,2015,January,Afternoon
19,2015-01-01,2025-11-21 13:59:09,13,Thursday,2015,January,Afternoon
20,2015-01-01,2025-11-21 14:03:08,14,Thursday,2015,January,Afternoon
21,2015-01-01,2025-11-21 14:14:29,14,Thursday,2015,January,Afternoon
22,2015-01-01,2025-11-21 14:16:26,14,Thursday,2015,January,Afternoon
23,2015-01-01,2025-11-21 14:19:03,14,Thursday,2015,January,Afternoon
24,2015-01-01,2025-11-21 14:23:01,14,Thursday,2015,January,Afternoon
25,2015-01-01,2025-11-21 14:44:44,14,Thursday,2015,January,Afternoon
26,2015-01-01,2025-11-21 14:54:26,14,Thursday,2015,January,Afternoon
27,2015-01-01,2025-11-21 15:11:17,15,Thursday,2015,January,Afternoon
28,2015-01-01,2025-11-21 15:35:46,15,Thursday,2015,January,Afternoon
29,2015-01-01,2025-11-21 15:41:01,15,Thursday,2015,January,Afternoon
30,2015-01-01,2025-11-21 15:41:25,15,Thursday,2015,January,Afternoon
31,2015-01-01,2025-11-21 15:50:18,15,Thursday,2015,January,Afternoon
32,2015-01-01,2025-11-21 15:53:18,15,Thursday,2015,January,Afternoon
33,2015-01-01,2025-11-21 15:54:08,15,Thursday,2015,January,Afternoon
34,2015-01-01,2025-11-21 16:21:21,16,Thursday,2015,January,Afternoon
35,2015-01-01,2025-11-21 16:32:04,16,Thursday,2015,January,Afternoon
36,2015-01-01,2025-11-21 16:54:09,16,Thursday,2015,January,Afternoon
37,2015-01-01,2025-11-21 16:56:09,16,Thursday,2015,January,Afternoon
38,2015-01-01,2025-11-21 17:03:00,17,Thursday,2015,January,Evening
39,2015-01-01,2025-11-21 17:07:23,17,Thursday,2015,January,Evening
40,2015-01-01,2025-11-21 17:14:36,17,Thursday,2015,January,Evening
41,2015-01-01,2025-11-21 17:15:20,17,Thursday,2015,January,Evening
42,2015-01-01,2025-11-21 17:28:09,17,Thursday,2015,January,Evening
43,2015-01-01,2025-11-21 17:38:34,17,Thursday,2015,January,Evening
44,2015-01-01,2025-11-21 17:54:20,17,Thursday,2015,January,Evening
45,2015-01-01,2025-11-21 17:55:48,17,Thursday,2015,January,Evening
46,2015-01-01,2025-11-21 18:25:51,18,Thursday,2015,January,Evening
47,2015-01-01,2025-11-21 18:26:34,18,Thursday,2015,January,Evening
48,2015-01-01,2025-11-21 18:26:42,18,Thursday,2015,January,Evening
49,2015-01-01,2025-11-21 18:33:00,18,Thursday,2015,January,Evening
50,2015-01-01,2025-11-21 18:41:01,18,Thursday,2015,January,Evening
51,2015-01-01,2025-11-21 18:48:28,18,Thursday,2015,January,Evening
52,2015-01-01,2025-11-21 18:53:02,18,Thursday,2015,January,Evening
53,2015-01-01,2025-11-21 18:54:17,18,Thursday,2015,January,Evening
54,2015-01-01,2025-11-21 19:01:45,19,Thursday,2015,January,Evening
55,2015-01-01,2025-11-21 19:03:19,19,Thursday,2015,January,Evening
56,2015-01-01,2025-11-21 19:07:00,19,Thursday,2015,January,Evening
57,2015-01-01,2025-11-21 19:10:51,19,Thursday,2015,January,Evening
58,2015-01-01,2025-11-21 19:30:40,19,Thursday,2015,January,Evening
59,2015-01-01,2025-11-21 19:40:08,19,Thursday,2015,January,Evening
60,2015-01-01,2025-11-21 20:05:16,20,Thursday,2015,January,Evening
61,2015-01-01,2025-11-21 20:08:43,20,Thursday,2015,January,Evening
62,2015-01-01,2025-11-21 20:50:16,20,Thursday,2015,January,Evening
63,2015-01-01,2025-11-21 20:51:42,20,Thursday,2015,January,Evening
64,2015-01-01,2025-11-21 20:52:08,20,Thursday,2015,January,Evening
65,2015-01-01,2025-11-21 21:16:00,21,Thursday,2015,January,Night
66,2015-01-01,2025-11-21 21:47:55,21,Thursday,2015,January,Night
67,2015-01-01,2025-11-21 22:03:40,22,Thursday,2015,January,Night
68,2015-01-01,2025-11-21 22:07:32,22,Thursday,2015,January,Night
69,2015-01-01,2025-11-21 22:12:13,22,Thursday,2015,January,Night
70,2015-01-02,2025-11-21 11:38:51,11,Friday,2015,January,Morning
71,2015-01-02,2025-11-21 11:40:50,11,Friday,2015,January,Morning
72,2015-01-02,2025-11-21 11:57:25,11,Friday,2015,January,Morning
73,2015-01-02,2025-11-21 11:58:56,11,Friday,2015,January,Morning
74,2015-01-02,2025-11-21 12:01:12,12,Friday,2015,January,Afternoon
75,2015-01-02,2025-11-21 12:10:15,12,Friday,2015,January,Afternoon
76,2015-01-02,2025-11-21 12:21:17,12,Friday,2015,January,Afternoon
77,2015-01-02,2025-11-21 12:22:46,12,Friday,2015,January,Afternoon
78,2015-01-02,2025-11-21 12:28:14,12,Friday,2015,January,Afternoon
79,2015-01-02,2025-11-21 12:29:11,12,Friday,2015,January,Afternoon
80,2015-01-02,2025-11-21 12:35:38,12,Friday,2015,January,Afternoon
81,2015-01-02,2025-11-21 12:40:01,12,Friday,2015,January,Afternoon
82,2015-01-02,2025-11-21 12:45:51,12,Friday,2015,January,Afternoon
83,2015-01-02,2025-11-21 12:53:27,12,Friday,2015,January,Afternoon
84,2015-01-02,2025-11-21 13:13:41,13,Friday,2015,January,Afternoon
85,2015-01-02,2025-11-21 13:34:49,13,Friday,2015,January,Afternoon
86,2015-01-02,2025-11-21 13:40:31,13,Friday,2015,January,Afternoon
87,2015-01-02,2025-11-21 14:01:02,14,Friday,2015,January,Afternoon
88,2015-01-02,2025-11-21 14:10:08,14,Friday,2015,January,Afternoon
89,2015-01-02,2025-11-21 14:30:19,14,Friday,2015,January,Afternoon
90,2015-01-02,2025-11-21 15:08:48,15,Friday,2015,January,Afternoon
91,2015-01-02,2025-11-21 15:14:43,15,Friday,2015,January,Afternoon
92,2015-01-02,2025-11-21 15:17:02,15,Friday,2015,January,Afternoon
93,2015-01-02,2025-11-21 15:29:31,15,Friday,2015,January,Afternoon
94,2015-01-02,2025-11-21 16:17:16,16,Friday,2015,January,Afternoon
95,2015-01-02,2025-11-21 16:18:04,16,Friday,2015,January,Afternoon
96,2015-01-02,2025-11-21 16:21:20,16,Friday,2015,January,Afternoon
97,2015-01-02,2025-11-21 16:45:33,16,Friday,2015,January,Afternoon
98,2015-01-02,2025-11-21 17:18:18,17,Friday,2015,January,Evening
99,2015-01-02,2025-11-21 17:45:42,17,Friday,2015,January,Evening
100,2015-01-02,2025-11-21 17:46:17,17,Friday,2015,January,Evening
101,2015-01-02,2025-11-21 17:51:33,17,Friday,2015,January,Evening
102,2015-01-02,2025-11-21 17:54:04,17,Friday,2015,January,Evening
103,2015-01-02,2025-11-21 18:02:09,18,Friday,2015,January,Evening
104,2015-01-02,2025-11-21 18:02:12,18,Friday,2015,January,Evening
105,2015-01-02,2025-11-21 18:12:01,18,Friday,2015,January,Evening
106,2015-01-02,2025-11-21 18:12:13,18,Friday,2015,January,Evening
107,2015-01-02,2025-11-21 18:25:09,18,Friday,2015,January,Evening
108,2015-01-02,2025-11-21 18:25:25,18,Friday,2015,January,Evening
109,2015-01-02,2025-11-21 18:27:50,18,Friday,2015,January,Evening
110,2015-01-02,2025-11-21 18:36:19,18,Friday,2015,January,Evening
111,2015-01-02,2025-11-21 18:38:01,18,Friday,2015,January,Evening
112,2015-01-02,2025-11-21 18:41:40,18,Friday,2015,January,Evening
113,2015-01-02,2025-11-21 18:50:21,18,Friday,2015,January,Evening
114,2015-01-02,2025-11-21 18:59:32,18,Friday,2015,January,Evening
115,2015-01-02,2025-11-21 19:05:17,19,Friday,2015,January,Evening
116,2015-01-02,2025-11-21 19:18:49,19,Friday,2015,January,Evening
117,2015-01-02,2025-11-21 19:23:02,19,Friday,2015,January,Evening
118,2015-01-02,2025-11-21 19:26:59,19,Friday,2015,January,Evening
119,2015-01-02,2025-11-21 19:32:29,19,Friday,2015,January,Evening
120,2015-01-02,2025-11-21 19:35:07,19,Friday,2015,January,Evening
121,2015-01-02,2025-11-21 19:38:48,19,Friday,2015,January,Evening
122,2015-01-02,2025-11-21 19:50:19,19,Friday,2015,January,Evening
123,2015-01-02,2025-11-21 20:12:09,20,Friday,2015,January,Evening
124,2015-01-02,2025-11-21 20:12:34,20,Friday,2015,January,Evening
125,2015-01-02,2025-11-21 20:31:06,20,Friday,2015,January,Evening
126,2015-01-02,2025-11-21 20:53:42,20,Friday,2015,January,Evening
127,2015-01-02,2025-11-21 20:58:23,20,Friday,2015,January,Evening
128,2015-01-02,2025-11-21 21:05:06,21,Friday,2015,January,Night
129,2015-01-02,2025-11-21 21:13:02,21,Friday,2015,January,Night
130,2015-01-02,2025-11-21 21:14:55,21,Friday,2015,January,Night
131,2015-01-02,2025-11-21 21:33:10,21,Friday,2015,January,Night
132,2015-01-02,2025-11-21 21:42:45,21,Friday,2015,January,Night
133,2015-01-02,2025-11-21 22:00:17,22,Friday,2015,January,Night
134,2015-01-02,2025-11-21 22:13:24,22,Friday,2015,January,Night
135,2015-01-02,2025-11-21 22:29:34,22,Friday,2015,January,Night
136,2015-01-02,2025-11-21 22:32:49,22,Friday,2015,January,Night
137,2015-01-03,2025-11-21 11:34:10,11,Saturday,2015,January,Morning
138,2015-01-03,2025-11-21 11:44:50,11,Saturday,2015,January,Morning
139,2015-01-03,2025-11-21 11:57:39,11,Saturday,2015,January,Morning
140,2015-01-03,2025-11-21 12:26:44,12,Saturday,2015,January,Afternoon
141,2015-01-03,2025-11-21 13:16:01,13,Saturday,2015,January,Afternoon
142,2015-01-03,2025-11-21 13:33:59,13,Saturday,2015,January,Afternoon
143,2015-01-03,2025-11-21 13:41:36,13,Saturday,2015,January,Afternoon
144,2015-01-03,2025-11-21 13:44:28,13,Saturday,2015,January,Afternoon
145,2015-01-03,2025-11-21 13:53:48,13,Saturday,2015,January,Afternoon
146,2015-01-03,2025-11-21 14:22:10,14,Saturday,2015,January,Afternoon
147,2015-01-03,2025-11-21 14:32:51,14,Saturday,2015,January,Afternoon
148,2015-01-03,2025-11-21 14:40:42,14,Saturday,2015,January,Afternoon
149,2015-01-03,2025-11-21 14:48:45,14,Saturday,2015,January,Afternoon
150,2015-01-03,2025-11-21 14:49:58,14,Saturday,2015,January,Afternoon
